Naslov,Avtor,Leto izida,Dolžina,Točke,Ocena,Število bralcev
Dogsbody,Diana Wynne Jones,1975,272,259,4.1,7148
"God of Tarot (Tarot, #1)",Piers Anthony,1979,288,235,3.44,1887
"The Champion of Garathorm (The Chronicles of Castle Brass, #2)",Michael Moorcock,1973,160,231,3.85,1341
"The Quest for Tanelorn (Chronicles of Castle Brass, #3)",Michael Moorcock,1975,126,228,3.85,1299
A Midsummer Tempest,Poul Anderson,1974,318,198,3.56,771
"The Dark Design (Riverworld, #3)",Philip José Farmer,1977,464,193,3.72,6104
The Fabulous Riverboat (Riverworld #2),Philip José Farmer,1971,231,193,3.87,10806
"The Gods of Riverworld (Riverworld, #5)",Philip José Farmer,1983,336,193,3.61,3905
"Swords and Deviltry (Fafhrd and the Gray Mouser, #1)",Fritz Leiber,1970,208,193,3.86,12947
The Amazing Bone,William Steig,1976,32,192,3.92,3481
Dr. Rat,William Kotzwinkle,1976,240,191,3.71,999
"Behind the Walls of Terra (World of Tiers, #4)",Philip José Farmer,1970,220,187,3.87,1224
Power of Three,Diana Wynne Jones,1976,336,185,3.97,3383
Dark Crusade,Karl Edward Wagner,1976,222,182,4.15,1278
"Don’t Bite the Sun (Four-BEE, #1)",Tanith Lee,1976,158,181,4.14,759
"Drinking Sapphire Wine (Four-BEE, #2)",Tanith Lee,1977,176,180,4.2,654
The Smallest Dragonboy,Anne McCaffrey,1973,,176,4.28,5152
The Prophet of Lamath (Pelmen the Powershaper #1),Robert Don Hughes,1979,357,174,3.9,326
Red Moon and Black Mountain,Joy Chant,1970,268,173,3.9,598
Kingdoms of Elfin,Sylvia Townsend Warner,1977,222,157,3.94,403
The Black Castle (Don Sebastian Vampire Chronicles #1),Les Daniels,1978,232,149,3.74,172
The Funny Little Woman,Arlene Mosel,1972,40,115,3.94,3772
One Fine Day,Nonny Hogrogian,1971,32,112,3.84,4216
The Brothers Lionheart,Astrid Lindgren,1973,231,100,4.35,38252
Merlin's Keep,Madeleine Brent,1977,318,100,4.1,1421
Burning Star,Eth Clifford,1974,190,100,2.67,3
The Wolves of Paris,Daniel P. Mannix,1978,235,99,4.04,119
"Sailing to Cythera: And Other Anatole Stories (The Anatole Trilogy, #1)",Nancy Willard,1974,72,97,3.95,40
Electric Forest,Tanith Lee,1979,160,95,3.64,826
The Doll Who Ate His Mother,Ramsey Campbell,1976,284,93,3.37,1184
"The Birthgrave (Birthgrave, #1)",Tanith Lee,1975,452,93,3.77,1661
"The Sunset Warrior (The Sunset Warrior Cycle, #1)",Eric Van Lustbader,1977,256,92,3.69,1446
"Shallows of Night (The Sunset Warrior Cycle, #2)",Eric Van Lustbader,1978,272,90,3.77,808
"Dai-San (The Sunset Warrior Cycle, #3)",Eric Van Lustbader,1978,256,89,3.76,796
The Hour of the Oxrun Dead,Charles L. Grant,1977,284,86,3.39,354
John the Valiant (Hesperus Classics),Sándor Petöfi,1844,144,86,3.77,971
The Sound of Midnight,Charles L. Grant,1978,256,79,3.44,174
Flashing Swords 2,Lin (ed) Stories Also By Lsprague De Camp Carter,1973,187,57,3.64,215
"Warriors and Wizards (Flashing Swords, #3)",Lin Carter,1976,272,56,3.55,137
Flashing Swords! #4: Barbarians and Black Magicians,Lin Carter,1977,272,55,3.69,146
Duffy and the Devil,Harve Zemach,1973,40,33,3.41,1104
"Pawn of Prophecy (The Belgariad, #1)",David Eddings,1982,304,12906,4.16,107055
"Magician (The Riftwar Saga, #1-2)",Raymond E. Feist,1982,681,10935,4.32,68286
"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,1982,884,9079,4.13,207798
"Dragons of Autumn Twilight  (Dragonlance: Chronicles, #1)",Margaret Weis,1984,444,8697,4.01,118209
Queen of Sorcery (The Belgariad #2),David Eddings,1982,326,7191,4.15,73863
"The Elfstones of Shannara  (The Original Shannara Trilogy, #2)",Terry Brooks,1982,23,7185,3.98,71712
"The Dragonbone Chair (Memory, Sorrow, and Thorn, #1)",Tad Williams,1988,672,7029,3.97,72221
"The Gunslinger (The Dark Tower, #1)",Stephen King,1982,231,6953,3.92,619845
"Howl's Moving Castle (Howl's Moving Castle, #1)",Diana Wynne Jones,1986,,6794,4.29,372516
"Guardians of the West (The Malloreon, #1)",David Eddings,1987,438,6700,4.11,54165
"The Color of Magic (Discworld, #1)",Terry Pratchett,1983,210,6558,4.0,393440
"Magician: Apprentice (The Riftwar Saga, #1)",Raymond E. Feist,1982,485,6306,4.17,96841
"Silverthorn (The Riftwar Saga, #3)",Raymond E. Feist,1985,432,5544,4.11,64559
"The Blue Sword (Damar, #1)",Robin McKinley,1982,248,5475,4.21,61446
"Alanna: The First Adventure (Song of the Lioness, #1)",Tamora Pierce,1983,274,5431,4.27,131905
"Guards! Guards! (Discworld, #8; City Watch, #1)",Terry Pratchett,1989,376,5421,4.34,213125
"The Hero and the Crown (Damar, #2)",Robin McKinley,1984,240,5357,4.21,53840
"The Black Company (The Chronicles of the Black Company, #1)",Glen Cook,1984,319,5325,3.93,50614
"Mort (Discworld, #4; Death, #1)",Terry Pratchett,1987,243,5161,4.24,250724
"Redwall (Redwall, #1)",Brian Jacques,1986,351,5097,4.14,121167
"Magic's Pawn (The Last Herald-Mage, #1)",Mercedes Lackey,1989,349,5090,4.21,27319
On a Pale Horse (Incarnations of Immortality #1),Piers Anthony,1983,325,4924,4.13,40192
"A Darkness At Sethanon (The Riftwar Saga, #4)",Raymond E. Feist,1986,527,4826,4.2,68083
"The Crystal Shard (Forgotten Realms: Icewind Dale, #1; Legend of Drizzt, #4)",R.A. Salvatore,1988,344,4588,4.12,57007
"Dragons of Spring Dawning (Dragonlance: Chronicles, #3)",Margaret Weis,1985,352,4522,4.14,58791
"The Drawing of the Three (The Dark Tower, #2)",Stephen King,1987,463,4465,4.23,266874
"The White Dragon (The Dragonriders of Pern, #3)",Anne McCaffrey,1978,468,4445,4.19,48255
"Dragons of Winter Night (Dragonlance: Chronicles, #2)",Margaret Weis,1985,358,4406,4.14,51883
"The Wishsong of Shannara (The Original Shannara Trilogy, #3)",Terry Brooks,1985,512,4307,3.98,53737
"Wyrd Sisters (Discworld, #6; Witches, #2)",Terry Pratchett,1988,265,3942,4.16,120205
Castle of Wizardry (The Belgariad #4),David Eddings,1984,375,3827,4.17,77030
Magician's Gambit (The Belgariad #3),David Eddings,1983,305,3781,4.15,92789
"The Fionavar Tapestry (The Fionavar Tapestry, #1-3)",Guy Gavriel Kay,1986,792,3765,4.23,7595
"Magic Kingdom for Sale/Sold (Magic Kingdom of Landover, #1)",Terry Brooks,1986,324,3728,3.91,38127
Enchanters' End Game (The Belgariad #5),David Eddings,1984,384,3660,4.19,93245
Matilda,Roald Dahl,1988,240,3596,4.33,980039
"Daughter of the Empire (The Empire Trilogy, #1)",Raymond E. Feist,1987,421,3522,4.29,38837
"Magician: Master (The Riftwar Saga, #2)",Raymond E. Feist,1982,499,3320,4.25,73129
"Arrows of the Queen (Heralds of Valdemar, #1)",Mercedes Lackey,1987,320,3250,4.14,38473
"Sheepfarmer's Daughter (The Deed of Paksenarrion, #1)",Elizabeth Moon,1988,506,3154,4.13,13135
The Eyes of the Dragon,Stephen King,1987,427,3128,3.94,131942
"The Wounded Land (The Second Chronicles of Thomas Covenant, #1)",Stephen R. Donaldson,1980,498,3110,4.0,20263
"The Light Fantastic (Discworld, #2; Rincewind, #2)",Terry Pratchett,1986,277,3079,4.0,155168
"The Mirror of Her Dreams (Mordant's Need, #1)",Stephen R. Donaldson,1986,656,3047,3.93,13854
"Time of the Twins (Dragonlance: Legends, #1)",Margaret Weis,1986,389,2932,4.17,37185
"The Talisman (The Talisman, #1)",Stephen King,1984,656,2891,4.12,131728
"King of the Murgos (The Malloreon, #2)",David Eddings,1988,454,2823,4.11,55300
"A Man Rides Through (Mordant's Need, #2)",Stephen R. Donaldson,1987,661,2818,4.03,13046
"The Summer Tree (The Fionavar Tapestry, #1)",Guy Gavriel Kay,1984,383,2810,3.96,25127
"Mary Stewart's Merlin Trilogy (Arthurian Saga, #1-3)",Mary  Stewart,1978,919,2686,4.4,4865
"Swordspoint (Riverside, #1)",Ellen Kushner,1987,329,2609,3.8,10518
"A Spell for Chameleon (Xanth, #1)",Piers Anthony,1977,344,2603,3.92,46480
"Split Infinity (Apprentice Adept, #1)",Piers Anthony,1980,368,2591,3.97,17931
"Test of the Twins (Dragonlance: Legends, #3)",Margaret Weis,1986,320,2567,4.2,30394
"Bridge of Birds (The Chronicles of Master Li and Number Ten Ox, #1)",Barry Hughart,1984,278,2561,4.27,10447
The BFG,Roald Dahl,1982,199,2546,4.23,490171
"Over Sea, Under Stone (The Dark is Rising, #1)",Susan Cooper,1965,196,2472,3.86,53578
The Anubis Gates,Tim Powers,1983,387,2382,3.9,16862
"Jhereg (Vlad Taltos, #1)",Steven Brust,1983,307,2372,4.13,15132
"War of the Twins (Dragonlance: Legends, #2)",Margaret Weis,1986,411,2200,4.15,31167
"Prince of the Blood (Krondor's Sons, #1)",Raymond E. Feist,1989,429,2153,4.02,26070
"Legend (The Drenai Saga, #1)",David Gemmell,1984,345,2145,4.26,33140
"The Oathbound (Valdemar: Vows and Honor, #1)",Mercedes Lackey,1988,302,2129,4.1,14909
"The Time of the Dark (Darwath, #1)",Barbara Hambly,1982,263,2110,3.98,5481
Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,1978,256,2011,4.05,80693
"Streams of Silver (Forgotten Realms: Icewind Dale, #2; Legend of Drizzt, #5)",R.A. Salvatore,1989,342,1993,4.17,43754
Moonheart,Charles de Lint,1984,447,1906,4.05,6642
War for the Oaks,Emma Bull,1987,309,1863,4.01,10425
"Shadows Linger (The Chronicles of the Black Company, #2)",Glen Cook,1984,319,1824,4.18,19728
"Dragon Prince (Dragon Prince, #1)",Melanie Rawn,1988,560,1801,3.95,16371
Fevre Dream,George R.R. Martin,1982,334,1776,3.9,29211
"Sword-Dancer (Tiger and Del, #1)",Jennifer Roberson,1986,286,1762,3.99,8136
"The Riddle-Master of Hed (Riddle-Master, #1)",Patricia A. McKillip,1976,229,1756,3.99,12675
"Little, Big",John Crowley,1981,538,1709,3.81,11593
"White Gold Wielder (The Second Chronicles of Thomas Covenant, #3)",Stephen R. Donaldson,1983,485,1682,4.05,19134
"The Lives of Christopher Chant (Chrestomanci, #2)",Diana Wynne Jones,1988,240,1676,4.25,23192
"The Snow Queen (The Snow Queen Cycle, #1)",Joan D. Vinge,1980,448,1660,3.95,12908
"The White Rose (The Chronicles of the Black Company, #3)",Glen Cook,1985,317,1565,4.2,19920
"The Ladies of Mandrigyn (Sun Wolf and Starhawk, No. 1)",Barbara Hambly,1984,311,1560,3.98,3359
"The One Tree (The Second Chronicles of Thomas Covenant, #2)",Stephen R. Donaldson,1982,496,1546,4.0,18865
"The Scions of Shannara (Heritage of Shannara, #1)",Terry Brooks,1990,512,1530,4.0,33334
Fire and Hemlock,Diana Wynne Jones,1985,420,1470,3.96,10698
"The Darkangel (Darkangel Trilogy, #1)",Meredith Ann Pierce,1982,281,1406,3.91,9456
"Sorcery & Cecelia: or The Enchanted Chocolate Pot (Cecelia and Kate, #1)",Patricia C. Wrede,1988,326,1402,4.02,20849
"Talking to Dragons (Enchanted Forest Chronicles, #4)",Patricia C. Wrede,1985,255,1343,4.19,36457
"Her Majesty's Wizard (Wizard in Rhyme, #1)",Christopher Stasheff,1986,342,1321,3.94,6839
"Dragonsbane (Winterlands, #1)",Barbara Hambly,1985,352,1313,3.96,7663
"The Many-Coloured Land (Saga of Pliocene Exile, #1)",Julian  May,1981,,1305,4.07,12977
Fire and Flight (ElfQuest #1),Wendy Pini,1981,176,1304,4.43,2996
The Witches,Roald Dahl,1981,208,1286,4.18,401901
"Moreta: Dragonlady of Pern (Pern, #7)",Anne McCaffrey,1984,286,1228,4.02,28969
"The Misplaced Legion (The Videssos Cycle, #1)",Harry Turtledove,1987,323,1171,3.9,1856
"The Armies of Daylight (Darwath, #3)",Barbara Hambly,1983,309,1161,4.08,3502
"Master of the Five Magics (Magics, #1)",Lyndon Hardy,1980,373,1101,3.81,5413
"Azure Bonds (Forgotten Realms: Finder's Stone, #1)",Kate Novak,1988,380,1093,3.85,5092
Faerie Tale,Raymond E. Feist,1988,490,1090,3.88,11023
Mythago Wood,Robert Holdstock,1984,319,1075,3.77,10354
"The Silent Tower (Windrose Chronicles, #1)",Barbara Hambly,1986,369,1053,3.94,3484
The Crystal Singer Omnibus,Anne McCaffrey,1996,1079,1039,4.38,1701
Unfinished Tales of Númenor and Middle-Earth,J.R.R. Tolkien,1980,452,1030,4.01,40469
"The Reluctant Swordsman (The Seventh Sword, #1)",Dave Duncan,1988,326,1026,3.91,4320
"The Walls of Air (Darwath, #2)",Barbara Hambly,1983,297,1007,4.06,3297
"The King Beyond the Gate (The Drenai Saga, #2)",David Gemmell,1985,415,998,4.14,15057
Weaveworld,Clive Barker,1987,721,992,4.13,32625
"Wise Child (Doran, #1)",Monica Furlong,1987,240,957,4.21,9531
"Oathbreakers (Vows and Honor, #2)",Mercedes Lackey,1989,318,926,4.19,15914
"Many Waters (Time Quintet, #4)",Madeleine L'Engle,1986,359,922,3.96,48460
"Equal Rites (Discworld, #3; Witches, #1)",Terry Pratchett,1987,240,901,4.06,183240
"The Sleeping Dragon (Guardians of the Flame, Book 1)",Joel Rosenberg,1983,,886,3.99,5390
"Red as Blood, or Tales from the Sisters Grimmer",Tanith Lee,1983,208,867,4.04,2649
On Stranger Tides,Tim Powers,1987,370,858,3.82,10137
"Exile's Gate (Morgaine Saga, #4)",C.J. Cherryh,1988,414,843,4.09,1746
The Dragon Waiting,John M. Ford,1983,368,831,3.78,2078
Daughter of Regals and Other Tales,Stephen R. Donaldson,1984,384,804,3.79,2575
"In the Hand of the Goddess (Song of the Lioness, #2)",Tamora Pierce,1984,264,792,4.24,99024
"The Shadow of the Torturer (The Book of the New Sun, #1)",Gene Wolfe,1980,262,786,3.83,30384
"The Indian in the Cupboard (The Indian in the Cupboard, #1)",Lynne Reid Banks,1980,192,779,3.93,106377
"So You Want to Be a Wizard (Young Wizards, #1)",Diane Duane,1983,323,777,3.85,27647
"Lyonesse (Lyonesse, #1)",Jack Vance,1983,436,775,3.93,5681
Tales from the Vulgar Unicorn,Robert Lynn Asprin,1980,299,770,3.86,3481
The Book of the New Sun,Gene Wolfe,1983,950,767,4.22,4284
Nifft the Lean,Michael   Shea,1982,304,758,4.0,744
"The Magicians of Caprona (Chrestomanci, #4)",Diana Wynne Jones,1980,288,730,3.93,12910
"Spellsinger (Spellsinger, #1)",Alan Dean Foster,1983,347,729,3.87,7313
"Heir of Sea and Fire (Riddle-Master, #2)",Patricia A. McKillip,1977,213,716,4.15,8111
"Daggerspell (Deverry, #1)",Katharine Kerr,1986,454,712,3.91,16363
"The Silicon Mage (Windrose Chronicles, #2)",Barbara Hambly,1988,338,706,3.96,2328
"Nerilka's Story (Pern, #8)",Anne McCaffrey,1986,182,704,3.85,18016
"The Secret Country (The Secret Country Trilogy, #1)",Pamela Dean,1985,293,693,3.59,1664
"The Woman Who Rides Like a Man (Song of the Lioness, #3)",Tamora Pierce,1986,284,684,4.18,80914
"Lioness Rampant (Song of the Lioness, #4)",Tamora Pierce,1988,384,678,4.28,90719
"The Bishop's Heir (Histories of King Kelson, #1)",Katherine Kurtz,1984,363,675,4.1,3860
"Shapechangers (Chronicles of the Cheysuli, #1)",Jennifer Roberson,1984,224,672,3.9,4069
"Arrow's Flight (Heralds of Valdemar, #2)",Mercedes Lackey,1987,318,666,4.13,23500
"Song of Sorcery (Argonia, # 1)",Elizabeth Ann Scarborough,1982,216,658,3.83,524
Pet Sematary,Stephen King,1983,576,647,4.07,608642
"Myth Conceptions (Myth Adventures, #2)",Robert Lynn Asprin,1980,201,645,4.09,15255
The Forbidden Grove (Elfquest Graphic Novel),Wendy Pini,1982,208,644,4.49,2168
"The Grand Tour (Cecelia and Kate, #2)",Patricia C. Wrede,2004,469,637,3.68,7227
Archer's Goon,Diana Wynne Jones,1984,324,629,4.08,4881
"Harpist in the Wind (Riddle-Master, #3)",Patricia A. McKillip,1979,263,612,4.18,7636
"God Stalk (Kencyrath, #1)",P.C. Hodgell,1982,271,609,4.11,2429
The Steerswoman,Rosemary Kirstein,1989,279,600,4.02,3530
Shadowdale (Forgotten Realms: Avatar #1),Scott Ciencin,1989,335,597,3.7,6184
Winter's Tale,Mark Helprin,1983,769,584,3.51,28704
"The Anvil of Ice (The Winter of the World, #1)",Michael Scott Rohan,1986,354,576,3.94,1343
"Centaur Aisle (Xanth, #4)",Piers Anthony,1981,304,559,3.81,19417
"Conan the Unconquered (Conan, #3)",Robert Jordan,1983,288,555,3.78,1037
"The Copper Crown (The Tales of Aeron, #1)",Patricia Kennealy-Morrison,1984,432,544,4.03,1594
Tailchaser's Song,Tad Williams,1985,375,544,3.98,12616
The Gate of Ivory (Ivory #1),Doris Egan,1989,319,543,3.97,851
"The Throne of Scone (The Tales of Aeron, #2)",Patricia Kennealy-Morrison,1986,384,536,4.17,964
The Master (Time Master #3),Louise Cooper,1987,285,521,4.16,1761
The Wizards and the Warriors (Chronicles of an Age of Darkness #1),Hugh Cook,1987,544,520,3.74,736
The Outcast (Time Master #2),Louise Cooper,1986,316,514,4.08,1710
"Lilith's Brood (Xenogenesis, #1-3)",Octavia E. Butler,1987,746,508,4.37,20456
"The Witches of Wenshar (Sun Wolf and Starhawk, No. 2)",Barbara Hambly,1987,295,507,3.84,1835
"The Shattered Chain (Darkover, #10)",Marion Zimmer Bradley,1976,287,505,3.95,2973
"Daughter of the Lion (Chronicles of the Cheysuli, #6)",Jennifer Roberson,1989,372,500,4.1,2695
The Stone and the Flute,Hans Bemmann,1983,864,498,4.07,1091
"The Fall of Atlantis (The Fall of Atlantis, #1-2)",Marion Zimmer Bradley,1983,502,498,3.77,4620
Christine,Stephen King,1983,411,494,3.84,245576
The Initiate (Time Master #1),Louise Cooper,1985,278,486,4.03,2177
Replay,Ken Grimwood,1987,311,480,4.15,39736
"Shadows of Sanctuary (Thieves' World, #3)",Robert Lynn Asprin,1981,338,472,3.83,2964
Deep Wizardry,Diane Duane,1985,356,472,4.05,16692
The Sword of Winter,Marta Randall,1983,241,460,3.88,142
"Arrow's Fall (Heralds of Valdemar, #3)",Mercedes Lackey,1988,319,460,4.19,23563
"Beyond Wizardwall (Beyond Series, #3)",Janet E. Morris,1986,250,451,4.03,414
To Reign in Hell,Steven Brust,1984,288,431,3.92,3756
The Tower of Fear,Glen Cook,1989,375,428,3.85,874
Cycle of the Werewolf,Stephen King,1983,128,428,3.66,58882
The Outlaws of Sherwood,Robin McKinley,1988,368,425,3.79,11980
"The Silver Branch (The Tales of Aeron, #3)",Patricia Kennealy-Morrison,1988,445,424,4.14,1027
Nemesis (Indigo #1),Louise Cooper,1988,294,409,3.77,776
"Stormwarden (The Cycle of Fire, #1)",Janny Wurts,1984,416,403,3.8,2337
"The Legion of Videssos (The Videssos Cycle, #3)",Harry Turtledove,1987,413,399,3.94,1054
The Golden Torc,Julian  May,1982,384,397,4.14,7336
"Teot's War (The Song of Naga Teot, #1)",Heather Gladney,1987,264,396,4.36,171
"Obernewtyn (The Obernewtyn Chronicles, #1)",Isobelle Carmody,1987,256,390,3.96,12186
"Divided Allegiance (The Deed of Paksenarrion, #2)",Elizabeth Moon,1988,522,378,4.18,6735
"Delirium's Mistress (Flat Earth, #4)",Tanith Lee,1985,416,374,4.21,792
"Witch Week (Chrestomanci, #3)",Diana Wynne Jones,1982,288,373,3.93,14529
"Night's Sorceries (Flat Earth, #5)",Tanith Lee,1987,288,369,4.29,546
"An Emperor for the Legion (The Videssos Cycle, #2)",Harry Turtledove,1987,322,364,3.93,1166
The Riddle of the Wren,Charles de Lint,1984,295,363,3.86,1669
Beyond Sanctuary,Janet E. Morris,1985,398,355,3.9,1949
Ariel,Steven R. Boyett,1983,325,347,3.64,2147
"Beyond the Veil (Beyond Series, #2)",Janet E. Morris,1986,256,346,4.06,604
"Caught in Crystal: A Lyra Novel (Lyra, #4)",Patricia C. Wrede,1987,364,339,3.75,1768
"Ogre, Ogre (Xanth #5)",Piers Anthony,1982,307,331,3.77,17311
"A Pride of Princes (Chronicles of the Cheysuli, #5)",Jennifer Roberson,1988,464,324,4.04,1701
"Keeper of the Keys (The Cycle of Fire, #2)",Janny Wurts,1988,336,323,3.93,1847
"The Darkest Road (The Fionavar Tapestry, #3)",Guy Gavriel Kay,1986,448,314,4.2,18080
"The Wandering Fire (The Fionavar Tapestry, #2)",Guy Gavriel Kay,1986,375,309,4.11,18146
"Shadowfane (The Cycle of Fire, #3)",Janny Wurts,1988,304,306,3.93,1380
The Land of Laughs,Jonathan Carroll,1980,253,297,3.89,6478
"The Nonborn King (Saga of Pliocene Exile, #3)",Julian  May,1983,393,293,4.19,5778
"Sword & Citadel (The Book of the New Sun, #3-4)",Gene Wolfe,1994,411,290,4.34,13278
"The Adversary (Saga of Pliocene Exile, #4)",Julian  May,1984,470,289,4.24,5757
"Shadow & Claw (The Book of the New Sun, #1-2)",Gene Wolfe,1994,413,286,4.03,20363
Taliesin (The Pendragon Cycle #1),Stephen R. Lawhead,1987,512,285,4.0,17529
"Sword-Singer (Tiger and Del, #2)",Jennifer Roberson,1988,382,283,4.06,4863
"Swords of the Legion (The Videssos Cycle, #4)",Harry Turtledove,1987,394,282,3.99,1116
KNIGHTS OF DARK RENOWN,David Gemmell,1989,325,281,4.1,5007
Thornyhold,Mary  Stewart,1988,207,277,3.86,7380
Scary Stories to Tell in the Dark,Alvin Schwartz,1981,111,277,4.06,68489
"The Song of Homana (Chroniles of the Cheysuli, #2)",Jennifer Roberson,1985,352,275,3.98,1925
